agno;mes;RBD;Establecimiento;Codigo;Enseñanza;Nivel;Letra;Porc_de_Asistencia;Matrícula_cierre_mes;;;;;;
2025;1.Marzo;10543;Centro Educacional Fidel Pinochet;610;Enseñanza Media Técnico-Profesional Técnica niños;4° medio;D;86%;27;;;;;;
2025;1.Marzo;10544;Liceo Elvira Brady Maldonado San Bernardo;310;Enseñanza Media Humanista-Científica niños y jóvenes;1° medio;A;86%;33;;;;;;
2025;1.Marzo;10544;Liceo Elvira Brady Maldonado San Bernardo;310;Enseñanza Media Humanista-Científica niños y jóvenes;1° medio;B;87%;36;;;;;;
2025;1.Marzo;10544;Liceo Elvira Brady Maldonado San Bernardo;310;Enseñanza Media Humanista-Científica niños y jóvenes;1° medio;C;91%;33;;;;;;
2025;1.Marzo;10544;Liceo Elvira Brady Maldonado San Bernardo;310;Enseñanza Media Humanista-Científica niños y jóvenes;1° medio;D;84%;35;;;;;;
2025;1.Marzo;10544;Liceo Elvira Brady Maldonado San Bernardo;310;Enseñanza Media Humanista-Científica niños y jóvenes;1° medio;E;89%;34;;;;;;
2025;1.Marzo;10544;Liceo Elvira Brady Maldonado San Bernardo;310;Enseñanza Media Humanista-Científica niños y jóvenes;1° medio;F;93%;33;;;;;;
2025;1.Marzo;10544;Liceo Elvira Brady Maldonado San Bernardo;310;Enseñanza Media Humanista-Científica niños y jóvenes;1° medio;G;94%;34;;;;;;
2025;1.Marzo;10544;Liceo Elvira Brady Maldonado San Bernardo;310;Enseñanza Media Humanista-Científica niños y jóvenes;2° medio;A;93%;31;;;;;;
2025;1.Marzo;10544;Liceo Elvira Brady Maldonado San Bernardo;310;Enseñanza Media Humanista-Científica niños y jóvenes;2° medio;B;91%;27;;;;;;
2025;1.Marzo;10544;Liceo Elvira Brady Maldonado San Bernardo;310;Enseñanza Media Humanista-Científica niños y jóvenes;2° medio;C;92%;30;;;;;;
2025;1.Marzo;10544;Liceo Elvira Brady Maldonado San Bernardo;310;Enseñanza Media Humanista-Científica niños y jóvenes;2° medio;D;92%;31;;;;;;
2025;1.Marzo;10544;Liceo Elvira Brady Maldonado San Bernardo;310;Enseñanza Media Humanista-Científica niños y jóvenes;2° medio;E;90%;28;;;;;;
2025;1.Marzo;10544;Liceo Elvira Brady Maldonado San Bernardo;310;Enseñanza Media Humanista-Científica niños y jóvenes;2° medio;F;85%;27;;;;;;
2025;1.Marzo;10544;Liceo Elvira Brady Maldonado San Bernardo;310;Enseñanza Media Humanista-Científica niños y jóvenes;2° medio;G;94%;32;;;;;;
2025;1.Marzo;10544;Liceo Elvira Brady Maldonado San Bernardo;310;Enseñanza Media Humanista-Científica niños y jóvenes;3° medio;A;89%;27;;;;;;
2025;1.Marzo;10544;Liceo Elvira Brady Maldonado San Bernardo;310;Enseñanza Media Humanista-Científica niños y jóvenes;3° medio;B;93%;29;;;;;;
2025;1.Marzo;10544;Liceo Elvira Brady Maldonado San Bernardo;310;Enseñanza Media Humanista-Científica niños y jóvenes;4° medio;A;96%;31;;;;;;
2025;1.Marzo;10544;Liceo Elvira Brady Maldonado San Bernardo;310;Enseñanza Media Humanista-Científica niños y jóvenes;4° medio;B;87%;30;;;;;;
2025;1.Marzo;10544;Liceo Elvira Brady Maldonado San Bernardo;610;Enseñanza Media Técnico-Profesional Técnica niños;3° medio;C;96%;42;;;;;;
2025;1.Marzo;10544;Liceo Elvira Brady Maldonado San Bernardo;610;Enseñanza Media Técnico-Profesional Técnica niños;3° medio;D;88%;43;;;;;;
2025;1.Marzo;10544;Liceo Elvira Brady Maldonado San Bernardo;610;Enseñanza Media Técnico-Profesional Técnica niños;3° medio;E;95%;39;;;;;;
2025;1.Marzo;10544;Liceo Elvira Brady Maldonado San Bernardo;610;Enseñanza Media Técnico-Profesional Técnica niños;3° medio;F;95%;38;;;;;;
2025;1.Marzo;10544;Liceo Elvira Brady Maldonado San Bernardo;610;Enseñanza Media Técnico-Profesional Técnica niños;3° medio;G;96%;37;;;;;;
2025;1.Marzo;10544;Liceo Elvira Brady Maldonado San Bernardo;610;Enseñanza Media Técnico-Profesional Técnica niños;4° medio;C;90%;30;;;;;;
2025;1.Marzo;10544;Liceo Elvira Brady Maldonado San Bernardo;610;Enseñanza Media Técnico-Profesional Técnica niños;4° medio;D;96%;30;;;;;;
2025;1.Marzo;10544;Liceo Elvira Brady Maldonado San Bernardo;610;Enseñanza Media Técnico-Profesional Técnica niños;4° medio;E;94%;28;;;;;;
2025;1.Marzo;10544;Liceo Elvira Brady Maldonado San Bernardo;610;Enseñanza Media Técnico-Profesional Técnica niños;4° medio;F;94%;28;;;;;;
2025;1.Marzo;10544;Liceo Elvira Brady Maldonado San Bernardo;610;Enseñanza Media Técnico-Profesional Técnica niños;4° medio;G;95%;27;;;;;;
