agno,mes,RBD,%Asistencia,Matrícula,RBD_Establecimiento,Enseñanza,Nivel,Letra
2025,1.Marzo,10544,0.93,29,10544 Liceo Elvira Brady Maldonado San Bernardo,310,III° Medio,B
2025,1.Marzo,10544,0.96,31,10544 Liceo Elvira Brady Maldonado San Bernardo,310,IV° Medio,A
2025,1.Marzo,10544,0.87,30,10544 Liceo Elvira Brady Maldonado San Bernardo,310,IV° Medio,B
2025,1.Marzo,10544,0.96,42,10544 Liceo Elvira Brady Maldonado San Bernardo,610,III° Medio,C
2025,1.Marzo,10544,0.88,43,10544 Liceo Elvira Brady Maldonado San Bernardo,610,III° Medio,D
2025,1.Marzo,10544,0.95,39,10544 Liceo Elvira Brady Maldonado San Bernardo,610,III° Medio,E
2025,1.Marzo,10544,0.95,38,10544 Liceo Elvira Brady Maldonado San Bernardo,610,III° Medio,F
2025,1.Marzo,10544,0.96,37,10544 Liceo Elvira Brady Maldonado San Bernardo,610,III° Medio,G
2025,1.Marzo,10544,0.9,30,10544 Liceo Elvira Brady Maldonado San Bernardo,610,IV° Medio,C
2025,1.Marzo,10544,0.96,30,10544 Liceo Elvira Brady Maldonado San Bernardo,610,IV° Medio,D
2025,1.Marzo,10544,0.94,28,10544 Liceo Elvira Brady Maldonado San Bernardo,610,IV° Medio,E
2025,1.Marzo,10544,0.94,28,10544 Liceo Elvira Brady Maldonado San Bernardo,610,IV° Medio,F
2025,1.Marzo,10544,0.95,27,10544 Liceo Elvira Brady Maldonado San Bernardo,610,IV° Medio,G
2025,1.Marzo,10545,0.77,28,10545 Liceo Industrial Miguel Aylwin Gajardo,310,I° Medio,A
2025,1.Marzo,10545,0.71,27,10545 Liceo Industrial Miguel Aylwin Gajardo,310,I° Medio,B
2025,1.Marzo,10545,0.74,29,10545 Liceo Industrial Miguel Aylwin Gajardo,310,I° Medio,C
2025,1.Marzo,10545,0.85,31,10545 Liceo Industrial Miguel Aylwin Gajardo,310,I° Medio,D
2025,1.Marzo,10545,0.8,17,10545 Liceo Industrial Miguel Aylwin Gajardo,310,II° Medio,A
2025,1.Marzo,10545,0.8,22,10545 Liceo Industrial Miguel Aylwin Gajardo,310,II° Medio,B
2025,1.Marzo,10545,0.82,28,10545 Liceo Industrial Miguel Aylwin Gajardo,310,II° Medio,C
2025,1.Marzo,10545,0.69,19,10545 Liceo Industrial Miguel Aylwin Gajardo,310,II° Medio,D
2025,1.Marzo,10545,0.79,27,10545 Liceo Industrial Miguel Aylwin Gajardo,510,III° Medio,A
2025,1.Marzo,10545,0.77,25,10545 Liceo Industrial Miguel Aylwin Gajardo,510,III° Medio,B
2025,1.Marzo,10545,0.77,26,10545 Liceo Industrial Miguel Aylwin Gajardo,510,III° Medio,C
2025,1.Marzo,10545,0.7,24,10545 Liceo Industrial Miguel Aylwin Gajardo,510,III° Medio,D
2025,1.Marzo,10545,0.83,18,10545 Liceo Industrial Miguel Aylwin Gajardo,510,IV° Medio,A
2025,1.Marzo,10545,0.81,26,10545 Liceo Industrial Miguel Aylwin Gajardo,510,IV° Medio,B
2025,1.Marzo,10545,0.89,24,10545 Liceo Industrial Miguel Aylwin Gajardo,510,IV° Medio,C
2025,1.Marzo,10545,0.85,24,10545 Liceo Industrial Miguel Aylwin Gajardo,510,IV° Medio,D
2025,1.Marzo,10546,0.94,4,10546 Escuela Pilar Moliner De Nuez,10,1er Nivel de Transición (Pre-kinder),A
2025,1.Marzo,10546,0.88,4,10546 Escuela Pilar Moliner De Nuez,10,2do Nivel de Transición (Kinder),A
2025,1.Marzo,10546,0.91,21,10546 Escuela Pilar Moliner De Nuez,110,1° Básico,A
2025,1.Marzo,10546,0.9,21,10546 Escuela Pilar Moliner De Nuez,110,2° Básico,A
